submission_ID,city_id,date,avg_temp_c
1,C001,01/01/2019,9.74076650625743
2,C001,02/01/2019,9.64094934558178
3,C001,03/01/2019,9.441315024230477
4,C001,04/01/2019,9.441315024230477
5,C001,05/01/2019,9.341497863554824
6,C001,06/01/2019,9.241680702879172
7,C001,07/01/2019,9.141863542203522
8,C002,01/01/2019,15.530161825445212
9,C002,02/01/2019,15.33052750409391
10,C002,03/01/2019,15.23071034341826
11,C002,04/01/2019,15.23071034341826
12,C002,05/01/2019,15.031076022066955
13,C002,06/01/2019,15.031076022066955
14,C002,07/01/2019,14.931258861391305
15,C003,01/01/2019,26.41023233909122
16,C003,02/01/2019,26.41023233909122
17,C003,03/01/2019,26.41023233909122
18,C003,04/01/2019,26.41023233909122
19,C003,05/01/2019,26.41023233909122
20,C003,06/01/2019,26.41023233909122
21,C003,07/01/2019,26.41023233909122
22,C004,01/01/2019,-0.8398525253616214
23,C004,02/01/2019,-0.7400353646859692
24,C004,03/01/2019,-0.7400353646859692
25,C004,04/01/2019,-0.9396696860372735
26,C004,05/01/2019,-1.0394868467129221
27,C004,06/01/2019,-0.8398525253616214
28,C004,07/01/2019,-1.0394868467129221
29,C005,01/01/2019,24.114437643551234
30,C005,02/01/2019,24.21425480422689
31,C005,03/01/2019,24.21425480422689
32,C005,04/01/2019,24.31407196490254
33,C005,05/01/2019,24.41388912557819
34,C005,06/01/2019,24.41388912557819
35,C005,07/01/2019,24.513706286253843
